,id,forward,incline,layer,side,street_name,surface,width,length,v_coordinates,u_coordinates,adjacent_parks
430,10139,1.0,0,0,W,LATONA AVE NE,concrete,1.8288,6.417448294139727,"[-122.32569006899196, 47.68423554654734]","[-122.32569085094957, 47.68429328449051]",[]
431,10140,1.0,72,0,W,LATONA AVE NE,concrete,1.8288,67.93781180458434,"[-122.32568179092321, 47.6836243083161]","[-122.32569006899196, 47.68423554654734]",[]
432,10141,1.0,0,0,W,LATONA AVE NE,concrete,1.8288,6.081967547151708,"[-122.32568104985491, 47.68356958869529]","[-122.32568179092321, 47.6836243083161]",[]
433,10289,0.0,58,0,S,NE 63RD ST,concrete,1.8288,28.64522434029428,"[-122.3229479293034, 47.67429432370732]","[-122.3233295014154, 47.674297410844986]",[]
434,10311,0.0,0,0,E,8TH AVE NE,concrete,1.8288,6.46742407812474,"[-122.32012535701857, 47.68394275498928]","[-122.32012445050403, 47.683884568226205]",[]
435,10312,0.0,-55,0,E,8TH AVE NE,concrete,1.8288,66.64440876743193,"[-122.32013469839191, 47.68454234798902]","[-122.32012535701857, 47.68394275498928]",[]
436,10313,0.0,0,0,E,8TH AVE NE,concrete,1.8288,6.073110186860518,"[-122.32013554965091, 47.684596987143536]","[-122.32013469839191, 47.68454234798902]",[]
437,10315,0.0,0,0,S,NE 54TH ST,concrete,1.8288,6.131423430088797,"[-122.32818412630058, 47.667848022176]","[-122.3282657923132, 47.66784858026808]",[]
438,10316,0.0,-20,0,S,NE 54TH ST,concrete,1.8288,189.88282445168653,"[-122.32565502907889, 47.667830709962914]","[-122.32818412630058, 47.667848022176]",[]
439,10317,1.0,-30,0,W,6TH AVE NE,concrete,1.8288,221.43774815843318,"[-122.32237558226664, 47.672297551417444]","[-122.3223631853095, 47.67428990128917]",[]
440,10322,1.0,-43,0,NW,N 54TH ST,concrete,1.8288,88.31436729679933,"[-122.33072503380221, 47.6676107829225]","[-122.32964962561893, 47.66793280973366]",[]
441,10372,1.0,-122,0,N,N 63RD ST,concrete,1.8288,97.1846457670106,"[-122.35131704451004, 47.67464647190561]","[-122.35002240487356, 47.67464106686161]",[]
442,10382,0.0,-45,0,E,5TH AVE NE,concrete,1.8288,60.31927464211312,"[-122.3227483848673, 47.68082699970241]","[-122.32273954171112, 47.680284315639845]",[]
443,10384,1.0,0,0,NW,EAST GREEN LAKE WAY N,N/A,2.1336,5.952541511027278,"[-122.32946299683739, 47.67842348444984]","[-122.32938397791358, 47.67841895114331]",['GREEN LAKE PARK']
444,10385,1.0,0,0,NW,EAST GREEN LAKE WAY N,N/A,2.1336,266.86610169752754,"[-122.33225625987886, 47.677448481706634]","[-122.33225521558637, 47.67747684013767]",['GREEN LAKE PARK']
445,10386,1.0,0,0,NW,EAST GREEN LAKE WAY N,N/A,2.1336,3.805843068295971,"[-122.33225752046881, 47.67741424953258]","[-122.33225625987886, 47.677448481706634]",['GREEN LAKE PARK']
446,10419,0.0,2,0,S,EAST GREEN LAKE WAY N,concrete,1.8288,71.28487356164581,"[-122.32836782809606, 47.67822824956766]","[-122.32931560770857, 47.678269006042875]",[]
447,10472,0.0,9,0,NE,EAST GREEN LAKE DR N,concrete,1.8288,79.2861787553369,"[-122.3349072556816, 47.68437730124524]","[-122.33430836448002, 47.683789640757055]",[]
448,10479,1.0,1,0,W,WEST GREEN LAKE DR N,concrete,1.8288,132.5684173172821,"[-122.34006521523033, 47.68357221785674]","[-122.3394818424678, 47.68469806032582]",[]
449,10481,0.0,0,0,S,N 55TH ST,concrete,1.8288,6.306315780228757,"[-122.33791254588769, 47.668630834244794]","[-122.33799654693856, 47.66863088042823]",[]
450,10482,0.0,-64,0,S,N 55TH ST,concrete,1.8288,108.82595343385627,"[-122.3364629683569, 47.66863002758492]","[-122.33791254588769, 47.668630834244794]",[]
451,10510,1.0,-17,0,W,PHINNEY AVE N,concrete,1.8288,63.679616102779804,"[-122.35454455372114, 47.669165420545056]","[-122.35454029200831, 47.669738367362065]",[]
452,10519,1.0,19,0,W,ROOSEVELT WAY NE,concrete,1.2191999999999998,65.62752717861082,"[-122.31764467779693, 47.68607826422353]","[-122.31765514824598, 47.68666869843091]",[]
453,10520,1.0,11,0,W,MERIDIAN AVE N,concrete,1.8288,67.99357908000555,"[-122.33380112576961, 47.66655135240602]","[-122.3337958895231, 47.66716311001069]",[]
454,10605,0.0,-71,0,S,NE 73RD ST,concrete,1.8288,61.352580887078915,"[-122.3188619346321, 47.68151280127513]","[-122.31938882863854, 47.68152331526045]",[]
455,10609,1.0,12,0,W,STONE AVE N,concrete,1.8288,66.9322179615838,"[-122.34188584455642, 47.68626739879611]","[-122.34188893036661, 47.686869611875004]",[]
456,10610,1.0,0,0,W,STONE AVE N,concrete,1.8288,6.234558614140284,"[-122.3418855571213, 47.68621130424154]","[-122.34188584455642, 47.68626739879611]",[]
457,10718,0.0,-5,0,E,8TH AVE NE,concrete,1.143,78.92845163228117,"[-122.31994315443995, 47.67493573498461]","[-122.319944623566, 47.67422558391088]",[]
458,10723,0.0,63,0,NE,KIRKWOOD PL N,concrete,1.8288,73.77062730447321,"[-122.33440441400118, 47.672345608760914]","[-122.33363670751167, 47.67193126199072]",[]
459,10741,1.0,-37,0,N,NE 53RD ST,concrete,1.8288,71.05914647265374,"[-122.31944328194788, 47.66717658137658]","[-122.3184968348286, 47.66717045715443]",[]
460,10751,1.0,-111,0,N,WOODLAND PL N,concrete,1.8288,47.896668855472406,"[-122.34912426161448, 47.6725989503351]","[-122.3488194120914, 47.67269895951453]",[]
461,10752,1.0,-111,0,N,WOODLAND PL N,concrete,1.8288,55.26033041390365,"[-122.34984246492752, 47.67250077219248]","[-122.34964923945117, 47.672509337898646]",[]
462,10795,0.0,-20,0,E,AURORA AVE N,concrete,2.8447999999999998,33.955712362307686,"[-122.344314153111, 47.683244627373085]","[-122.34431586458216, 47.682939115802114]",[]
463,10796,0.0,0,0,E,AURORA AVE N,concrete,2.8447999999999998,6.343588744432545,"[-122.34431383337055, 47.68330170288607]","[-122.344314153111, 47.683244627373085]",[]
464,10797,0.0,-38,0,E,WALLINGFORD AVE N,concrete,1.8288,142.42644605653052,"[-122.3363436727701, 47.68685918338137]","[-122.33661882547904, 47.68663657310018]",[]
465,10815,0.0,42,0,E,PHINNEY AVE N,concrete,1.8288,68.4904587033368,"[-122.35421053267297, 47.67524513259768]","[-122.35422073350114, 47.674628932362296]",[]
466,10839,1.0,-20,0,N,N 66TH ST,concrete,1.8288,181.64238685631292,"[-122.34981669195774, 47.676951117534784]","[-122.34739689812272, 47.67693649661788]",[]
