,curbramps,marked,st_pkey,street_name,geometry
144,0,0,12282,PROSPECT ST,"LINESTRING (-122.3552824364866 47.62944706153258, -122.3552838109137 47.6292551725133)"
145,0,0,275596,HIGHLAND DR,"LINESTRING (-122.3554491766473 47.62939845096223, -122.355447327205 47.62958064676271)"
146,0,0,1037,1ST AVE N,"LINESTRING (-122.355279543291 47.62971374416985, -122.3554460695464 47.62969660599473)"
147,0,0,10885,HIGHLAND DR,"LINESTRING (-122.3552785454116 47.6298261822413, -122.355279543291 47.62971374416985)"
148,0,0,275597,HIGHLAND DR,"LINESTRING (-122.3554460695464 47.62969660599473, -122.3553616011485 47.62982651903619)"
149,0,0,1038,1ST AVE N,"LINESTRING (-122.3555428374556 47.6309440465993, -122.355708769046 47.63100066894247)"
150,0,0,1039,1ST AVE N,"LINESTRING (-122.3557083702681 47.63105702364159, -122.3555420319987 47.6310564856949)"
151,0,0,11350,LEE ST,"LINESTRING (-122.3555420319987 47.6310564856949, -122.3555428374556 47.6309440465993)"
152,1,0,1039,1ST AVE N,"LINESTRING (-122.355571956081 47.6322604459361, -122.3557383448671 47.63226056101225)"
153,1,0,1040,1ST AVE N,"LINESTRING (-122.3557395333884 47.63237300079115, -122.3555731853748 47.63237288822494)"
154,1,0,10592,GALER ST,"LINESTRING (-122.3557383448671 47.63226056101225, -122.3557395333884 47.63237300079115)"
155,1,0,10593,GALER ST,"LINESTRING (-122.3555731853748 47.63237288822494, -122.355571956081 47.6322604459361)"
156,1,0,1040,1ST AVE N,"LINESTRING (-122.355564767234 47.6331105445602, -122.3557311089789 47.63311141177254)"
157,0,0,1041,1ST AVE N,"LINESTRING (-122.3557299910963 47.63322363123248, -122.355563646811 47.63322298308545)"
158,1,0,10611,GARFIELD ST,"LINESTRING (-122.355563646811 47.63322298308545, -122.355564767234 47.6331105445602)"
159,0,0,1041,1ST AVE N,"LINESTRING (-122.3555616272745 47.63345974607275, -122.3557279723112 47.6334603942262)"
